,word,count,percent
0,Japan Aerospace Exploration Agency,4,1.13314
1,Massachusetts Institute of Technology,3,0.84986
2,University of Colorado Boulder,2,0.56657
3,Rensselaer Polytechnic Institute,2,0.56657
4,Rensselaer Polytechnic Inst.,2,0.56657
5,"Department of Clinical Pharmacology and Therapy , Russian Medical Academy of Continuing Professional Education, Ministry of Health of Russia , Moscow , Russian Federation",2,0.56657
6,"Department of Clinical Pharmacology and Propaedeutics of Internal Diseases , Sechenov First Moscow State Medical University (Sechenov University), Ministry of Health of Russia , Moscow , Russian Federation",2,0.56657
7,"Universidad Tecnol&#x00F3;gica del Per&#x00FA;,IEEE Senior Member,Lima,Peru",2,0.56657
8,"KBR, Houston, TX, USA",2,0.56657
9,Tohoku Fukushi University,2,0.56657
10,"Tianjin Key Laboratory for Advanced Mechatronic System Design and Intelligent Control, School of Mechanical Engineering, Tianjin University of Technology, Tianjin, People’s Republic of China",2,0.56657
11,University of Houston,2,0.56657
12,"Department of Mechanics, School of Mechanical Engineering, Tianjin University, Tianjin, People’s Republic of China",2,0.56657
13,University of Minnesota,2,0.56657
14,"Universidad Nacional de Ingenier&#x00ED;a;,Center for Space Emerging Technologies,Lima,Peru",2,0.56657
15,"Blue Marble Space Institute of Science, Space Biosciences Division, NASA Ames Research Center, Mountain View, California, USA.",1,0.28329
16,"Department of Bioengineering, School of Life Science and Engineering Lanzhou University of Technology  Lanzhou China",1,0.28329
17,"Gansu Key Laboratory of Space Radiobiology Institute of Modern Physics, Chinese Academy of Sciences  Lanzhou China",1,0.28329
18,Tokyo Women’s Medical University,1,0.28329
19,"Lockheed Martin, Houston, TX, USA",1,0.28329
20,UniSA Clinical and Health Sciences University of South Australia  Adelaide South Australia Australia,1,0.28329
21,"Department of Pharmacy, The 940th Hospital of Joint Logistic Support Force People's Liberation Army of China  Lanzhou China",1,0.28329
22,"Department of Allied Health Sciences, School of Health Sciences and Technology, University of Petroleum and Energy Studies (UPES), Energy Acres Building , Bidholi Dehradun, 248007 Uttarakhand, India",1,0.28329
23,"Leidos, Houston, TX, USA",1,0.28329
24,"Cross II Leidos, Houston, TX, USA",1,0.28329
25,"Sector of Microtechnologies, Institute of Biotechnology, Life Sciences Center, Vilnius University, Vilnius, Lithuania.",1,0.28329
26,"Fundamental Medical Science Research Laboratories, The 940th Hospital of Joint Logistic Support Force People's Liberation Army of China  Lanzhou China",1,0.28329
27,"KBR, KBR, Houston, TX, USA",1,0.28329
28,"Space Biosciences Division, NASA Ames Research Center, Moffett Field, California, USA.",1,0.28329
29,"Key Laboratory for Biomechanics and Mechanobiology (Beihang University), Ministry of Education Beijing Advanced Innovation Center for Biomedical Engineering School of Biological Science and Medical Engineering Beihang University  Beijing China",1,0.28329
30,"NASA Johnson Space Center, Houston, TX, USA",1,0.28329
31,Institute of Aerospace Medicine German Aerospace Center  Cologne Germany,1,0.28329
32,"Institute of Biomedical Problems, Russian Academy of Sciences, Moscow 123007, Russia",1,0.28329
33,"Imec-Vision Lab, University of Antwerp, B-2610 Antwerp, Belgium",1,0.28329
34,"Lab for Equilibrium Investigations and Aerospace, University of Antwerp, B-2610 Antwerp, Belgium",1,0.28329
35,"Department of Radiology and Radiological Science, Medical University of South Carolina, Charleston, SC 29425",1,0.28329
36,"Laboratory of Neuro Imaging, University of Southern California, Los Angeles, CA 90033",1,0.28329
37,"School of Mathematics and Information Science, Henan Polytechnic University, Jiaozuo, Henan 454000, P. R. China",1,0.28329
38,"College of Computer Science and Technology, Henan Polytechnic University, Jiaozuo, Henan 454000, P. R. China",1,0.28329
39,"Laboratory for the Development of Means and Methods of Medical Care in Extreme Conditions and Telemedicine of the State Scientific Centre of the Russian Federation, Institute of Medical and Biological Problems of the Russian Academy of Sciences , Moscow , Russian Federation",1,0.28329
40,"Institute of Electrodynamics, Microwave and Circuit Engineering Vienna University of Technology  Vienna Austria",1,0.28329
41,"University of Houston, Houston, TX, USA",1,0.28329
42,Center for Health &amp; Bioresources AIT Austrian Institute of Technology  Vienna Austria,1,0.28329
43,School of Engineering Science University of Chinese Academy of Sciences  Beijing 100049 China,1,0.28329
44,National Microgravity Laboratory Institute of Mechanics Chinese Academy of Sciences  Beijing 100190 China,1,0.28329
45,"Department of Biotechnology, SRM Institute of Science and Technology, Kattankulathur, India.",1,0.28329
46,"School of Environment, Earth and Ecosystem Sciences, Open University, Milton Keynes, United Kingdom.",1,0.28329
47,"Totsuka Royal Clinic, Tokyo Women's Medical University",1,0.28329
48,"Blue Marble Space Institute of Science, Seattle, Washington, USA.",1,0.28329
49,"Centre of Excellence in Astrobiology, Amity University Mumbai, Mumbai, India.",1,0.28329
50,"Mars Society Australia, CLIFTON HILL, Australia.",1,0.28329
51,"German Aerospace Center, Institute of Aerospace Medicine, in Köln, Germany",1,0.28329
52,"Physics Department, Birla Institute of Technology and Science, Pilani, Hyderabad, Telangana, India",1,0.28329
53,"Baylor Scott & White Medical Center, Temple, TX, USA",1,0.28329
54,Lehigh University,1,0.28329
55,Aja University of Medical Sciences,1,0.28329
