,word,count,percent
0,"Herranz, Raúl",13,0.22026
1,"Grimm, Daniela",13,0.22026
2,"Venkateswaran, Kasthuri",12,0.20332
3,"Medina, F. Javier",11,0.18638
4,"Manzano, Aránzazu",10,0.16943
5,"Yano, Sachiko",9,0.15249
6,"Mason, Christopher E.",9,0.15249
7,"Wehland, Markus",9,0.15249
8,"Zea, Luis",8,0.13555
9,"Deng, Yulin",8,0.13555
10,"Ciska, Malgorzata",8,0.13555
11,"Moeller, Ralf",8,0.13555
12,"Infanger, Manfred",8,0.13555
13,"Krüger, Marcus",8,0.13555
14,"Kiss, John Z.",7,0.1186
15,"Beheshti, Afshin",7,0.1186
16,"Borg, Joseph",6,0.10166
17,"Torday, John S.",6,0.10166
18,"Goswami, Nandu",6,0.10166
19,"Stodieck, Louis",6,0.10166
20,"Hada, Megumi",6,0.10166
21,"Villacampa, Alicia",6,0.10166
22,"Szewczyk, Nathaniel J.",6,0.10166
23,"Shimazu, Toru",6,0.10166
24,"Sahana, Jayashree",6,0.10166
25,"Braddock, Martin",5,0.08472
26,"Johnson, Christina M.",5,0.08472
27,"Kamada, Motoshi",5,0.08472
28,"Schulz, Herbert",5,0.08472
29,"Hemmersbach, Ruth",5,0.08472
30,"Zhang, Bin",5,0.08472
31,"Takahashi, Akihisa",5,0.08472
32,"Baselet, Bjorn",5,0.08472
33,"Baatout, Sarah",5,0.08472
34,"Singh, Nitin K.",5,0.08472
35,"ElGindi, Mei",5,0.08472
36,"Sapudom, Jiranuwat",5,0.08472
37,"Hessel, Volker",5,0.08472
38,"Liu, Changting",5,0.08472
39,"Costes, Sylvain V.",5,0.08472
40,"Madrigal, Pedro",5,0.08472
41,"Furukawa, Satoshi",5,0.08472
42,"Corydon, Thomas J.",5,0.08472
43,"Zhang, Peng",5,0.08472
44,"Qaisar, Rizwan",5,0.08472
45,"Soga, Kouichi",4,0.06777
46,"Li, Yongzhi",4,0.06777
47,"Cornejo, Jose",4,0.06777
48,"Kasahara, Haruo",4,0.06777
49,"Lu, Weihong",4,0.06777
50,"Egli, Marcel",4,0.06777
51,"Giacomello, Stefania",4,0.06777
52,"Bizzarri, Mariano",4,0.06777
53,"Bezdan, Daniela",4,0.06777
54,"Xin, Bingmu",4,0.06777
55,"Ricco, Antonio J.",4,0.06777
56,"Britten, Richard A.",4,0.06777
57,"Podolich, Olga",4,0.06777
58,"de Vera, Jean-Pierre P.",4,0.06777
59,"Williams, Philip M.",4,0.06777
60,"Ogneva, Irina V.",4,0.06777
61,"Zhang, Yi",4,0.06777
62,"Barh, Debmalya",4,0.06777
63,"Wise, Petra M.",4,0.06777
64,"Góes-Neto, Aristóteles",4,0.06777
65,"Yin, Yishu",4,0.06777
66,"Śniadek, Patrycja",4,0.06777
67,"Caplin, Nicol",4,0.06777
68,"Gupta, Anjali",4,0.06777
69,"Zeng, Deyong",4,0.06777
70,"Basirun, Carin",4,0.06777
71,"Poole, Kate",4,0.06777
72,"Hoson, Takayuki",4,0.06777
73,"Elmoselhi, Adel",4,0.06777
74,"Li, Yingxian",4,0.06777
75,"Ling, Shukuan",4,0.06777
76,"Levine, Howard G.",4,0.06777
77,"Massa, Gioia D.",4,0.06777
78,"Foing, Bernard",4,0.06777
79,"Li, Jianwei",4,0.06777
80,"Verseux, Cyprien",4,0.06777
81,"McDonald, Karen A.",4,0.06777
82,"Nandi, Somen",4,0.06777
83,"Cockell, Charles S.",4,0.06777
84,"Trovatti Uetanabaro, Ana Paula",4,0.06777
85,"Takahashi, Satoru",4,0.06777
86,"Wang, Dapeng",4,0.06777
87,"Bai, Po",4,0.06777
88,"Leys, Natalie",4,0.06777
89,"Su, Xiaolei",4,0.06777
90,"Chou, Joshua",4,0.06777
91,"Bhattacharya, Sharmila",4,0.06777
92,"Arkin, Adam P.",4,0.06777
93,"Wang, Junfeng",4,0.06777
94,"Neviani, Paolo",3,0.05083
95,"Braun, Markus",3,0.05083
96,"Richter, Peter",3,0.05083
97,"Jiang, Xuege",3,0.05083
98,"Fang, Tingzheng",3,0.05083
99,"Higashibata, Akira",3,0.05083
100,"Higashitani, Atsushi",3,0.05083
101,"Chatani, Masahiro",3,0.05083
102,"Strauch, Sebastian M.",3,0.05083
103,"Wuyts, Floris L.",3,0.05083
104,"Tabuchi, Yoshiaki",3,0.05083
105,"Adamo, Paola",3,0.05083
106,"De Pascale, Stefania",3,0.05083
107,"Aronne, Giovanna",3,0.05083
108,"Xie, Junyan",3,0.05083
109,"Wang, Lihua",3,0.05083
110,"Hirayama, Jun",3,0.05083
111,"Kourtidou-Papadeli, Chrysoula",3,0.05083
112,"Zheng, Huiqiong",3,0.05083
113,"Furusawa, Yukihiro",3,0.05083
114,"Maillet, Alain",3,0.05083
