,word,count,percent
0,npj Microgravity,47,5.09761
1,International Journal of Molecular Sciences,36,3.90456
2,Life,35,3.7961
3,Life Sciences in Space Research,34,3.68764
4,Acta Astronautica,34,3.68764
5,Handbook of Space Pharmaceuticals,32,3.47072
6,Frontiers in Microbiology,15,1.6269
7,Frontiers in Cell and Developmental Biology,14,1.51844
8,Microgravity Science and Technology,11,1.19306
9,Biomedicines,11,1.19306
10,SSRN Electronic Journal,11,1.19306
11,Scientific Reports,11,1.19306
12,Frontiers in Bioengineering and Biotechnology,10,1.0846
13,Methods in Molecular Biology,10,1.0846
14,In‐Space Manufacturing and Resources,10,1.0846
15,Frontiers in Physiology,9,0.97614
16,Plant Gravitropism,7,0.75922
17,Frontiers in Space Technologies,7,0.75922
18,iScience,6,0.65076
19,Frontiers in Astronomy and Space Sciences,6,0.65076
20,Physics of Fluids,6,0.65076
21,Astrobiology,5,0.5423
22,Communications Biology,5,0.5423
23,The FASEB Journal,5,0.5423
24,Heliyon,5,0.5423
25,Space: Science &amp; Technology,4,0.43384
26,Neuroscience &amp; Biobehavioral Reviews,4,0.43384
27,Applied Sciences,4,0.43384
28,New Space,4,0.43384
29,Plants,4,0.43384
30,Biomimicry for Aerospace,4,0.43384
31,Biological Sciences in Space,4,0.43384
32,4th Symposium on Space Educational Activities,4,0.43384
33,Microbiome,4,0.43384
34,AIAA SCITECH 2022 Forum,4,0.43384
35,Proceedings of the National Academy of Sciences,4,0.43384
36,Progress in Biophysics and Molecular Biology,3,0.32538
37,"The Minerals, Metals &amp; Materials Series",3,0.32538
38,Acta Crystallographica Section F Structural Biology Communications,3,0.32538
39,Fractals,3,0.32538
40,Behavioural Brain Research,3,0.32538
41,International Journal of Radiation Biology,3,0.32538
42,PLOS ONE,3,0.32538
43,Nature Communications,3,0.32538
44,Metallurgy in Space,3,0.32538
45,Advances in Space Research,3,0.32538
46,Cellular and Molecular Life Sciences,3,0.32538
47,Applied Thermal Engineering,3,0.32538
48,Spaceflight Associated Neuro-Ocular Syndrome,3,0.32538
49,Plant Physiology and Biochemistry,3,0.32538
50,Applied and Environmental Microbiology,3,0.32538
51,Microbial Biotechnology,3,0.32538
52,Hormones and Reality,3,0.32538
53,Cells,3,0.32538
54,Gravitational and Space Research,3,0.32538
55,Aerospace Medicine and Human Performance,3,0.32538
56,Encyclopedia of Bioastronautics,3,0.32538
57,International Journal of Astrobiology,3,0.32538
58,Handbook of Bioastronautics,3,0.32538
59,Microorganisms,3,0.32538
60,AIP Conference Proceedings,3,0.32538
61,Stem Cells International,2,0.21692
62,SpringerBriefs in Space Life Sciences,2,0.21692
63,Health Physics,2,0.21692
64,Engineering and Medicine in Extreme Environments,2,0.21692
65,Biomechanics of Injury and Prevention,2,0.21692
66,Kidney International,2,0.21692
67,Bioactive Materials,2,0.21692
68,Stem Cell Research &amp; Therapy,2,0.21692
69,2022 IEEE Aerospace Conference (AERO),2,0.21692
70,Current Issues in Molecular Biology,2,0.21692
71,Bioengineering,2,0.21692
72,Brazilian Journal of Microbiology,2,0.21692
73,Studia Humana,2,0.21692
74,Crystallography Reviews,2,0.21692
75,Frontiers in Cardiovascular Medicine,2,0.21692
76,Nanomaterials,2,0.21692
77,"2022 IEEE XXIX International Conference on Electronics, Electrical Engineering and Computing (INTERCON)",2,0.21692
78,Drug Metabolism and Personalized Therapy,2,0.21692
79,Plant Tissue Culture: New Techniques and Application in Horticultural Species of Tropical Region,2,0.21692
80,ASCEND 2022,2,0.21692
81,Chinese Journal of Mechanical Engineering: Additive Manufacturing Frontiers,2,0.21692
82,Food Research International,2,0.21692
83,Journal of Applied Physiology,2,0.21692
84,Current Opinion in Biotechnology,2,0.21692
85,Applied Microbiology and Biotechnology,2,0.21692
86,Trends in Biotechnology,2,0.21692
87,Sports Medicine,2,0.21692
88,ACS Applied Materials &amp; Interfaces,2,0.21692
89,Frontiers in Plant Science,2,0.21692
90,Frontiers in Immunology,2,0.21692
91,Artificial Organs,2,0.21692
92,International Journal of Refrigeration,2,0.21692
93,American Journal of Physiology-Cell Physiology,2,0.21692
94,Lecture Notes in Computer Science,2,0.21692
95,Quantum Science and Technology,2,0.21692
96,Acta Biomaterialia,2,0.21692
97,Microbiology Spectrum,2,0.21692
98,Advanced Engineering Materials,2,0.21692
99,"Plant Cell, Tissue and Organ Culture (PCTOC)",2,0.21692
100,International Journal of Environmental Research and Public Health,2,0.21692
101,Journal of Biomedical Materials Research Part A,2,0.21692
102,Nature Medicine,2,0.21692
103,Advanced Therapeutics,2,0.21692
104,Computer Methods in Biomechanics and Biomedical Engineering,2,0.21692
105,Chinese Science Bulletin,1,0.10846
106,Medical Engineering &amp; Physics,1,0.10846
107,Functional Foods and Nutraceuticals in Metabolic and Non-Communicable Diseases,1,0.10846
108,Cancer Letters,1,0.10846
109,THE FORMATION AND PECULIARITIES OF THE IMPLEMENTATION OF THE EUROPEAN UNION’S EASTERN POLICY,1,0.10846
110,Water,1,0.10846
111,Brain Research,1,0.10846
112,Sports Health: A Multidisciplinary Approach,1,0.10846
113,Radiation and Environmental Biophysics,1,0.10846
114,Environmental and Experimental Botany,1,0.10846
115,Chemokine-Glycosaminoglycan Interactions,1,0.10846
116,Robotics and Computer-Integrated Manufacturing,1,0.10846
117,Lecture Notes in Electrical Engineering,1,0.10846
118,Science Advances,1,0.10846
119,Journal of the American Academy of Dermatology,1,0.10846
120,Man-Machine-Environment System Engineering,1,0.10846
121,Biochimie,1,0.10846
122,Biosemiotics,1,0.10846
123,Viruses,1,0.10846
124,Biomaterials Science,1,0.10846
125,Journal of Physics: Conference Series,1,0.10846
126,Resonance,1,0.10846
127,REACH,1,0.10846
128,Global Journal of Researches in Engineering,1,0.10846
129,European Journal of Applied Physics,1,0.10846
130,The Statesman’s Yearbook,1,0.10846
131,Communications in Nonlinear Science and Numerical Simulation,1,0.10846
132,Satellite Photoelectric Sensing Technology,1,0.10846
133,Chemical Engineering Journal,1,0.10846
134,British Journal of Pharmacology,1,0.10846
135,Advanced Spectroscopic Methods to Study Biomolecular Structure and Dynamics,1,0.10846
136,Journal of Manufacturing Science and Engineering,1,0.10846
137,JAMA Neurology,1,0.10846
138,Biological Rhythm Research,1,0.10846
139,China's Space Programme,1,0.10846
140,Current Nutrition &amp; Food Science,1,0.10846
141,Shape Memory Composites Based on Polymers and Metals for 4D Printing,1,0.10846
142,Sensors and Actuators B: Chemical,1,0.10846
143,Neurological Sciences,1,0.10846
144,CEAS Space Journal,1,0.10846
145,Canadian Journal of Physiology and Pharmacology,1,0.10846
146,Human Physiology,1,0.10846
147,Journal of Colloid and Interface Science,1,0.10846
148,Stem Cells Translational Medicine,1,0.10846
149,SN Applied Sciences,1,0.10846
150,Materials Science Forum,1,0.10846
151,Solidification and Gravity IV,1,0.10846
152,Microscopy,1,0.10846
153,Applied Ergonomics,1,0.10846
154,The Untold Stories of the Space Shuttle Program,1,0.10846
155,Medicine in Novel Technology and Devices,1,0.10846
156,Mechanical Systems and Signal Processing,1,0.10846
157,New Frontiers and Applications of Synthetic Biology,1,0.10846
158,Spacelab Payloads,1,0.10846
159,Ciencia y Poder Aéreo,1,0.10846
160,European Journal of Cell Biology,1,0.10846
161,Brain,1,0.10846
162,Biomaterials,1,0.10846
163,Advances in Materials Science and Engineering,1,0.10846
164,Future Microbiology,1,0.10846
165,Cellular Signalling,1,0.10846
166,Recent Progress in Nutrition,1,0.10846
167,Annual Review of Food Science and Technology,1,0.10846
168,Clinical and Translational Medicine,1,0.10846
169,The Planetary Science Journal,1,0.10846
170,2022 IEEE 9th International Workshop on Metrology for AeroSpace (MetroAeroSpace),1,0.10846
171,Journal of Physics: Condensed Matter,1,0.10846
172,Quantitative Plant Biology,1,0.10846
173,Human Factors in Aviation and Aerospace,1,0.10846
174,Engineered Regeneration,1,0.10846
175,Computers in Biology and Medicine,1,0.10846
176,Cellular Reprogramming,1,0.10846
177,Data Mining Techniques for the Life Sciences,1,0.10846
178,Alexandria Engineering Journal,1,0.10846
179,Genomics,1,0.10846
180,Bioelectrochemistry,1,0.10846
181,Physiology and Molecular Biology of Plants,1,0.10846
182,Developmental Dynamics,1,0.10846
183,The Physics Teacher,1,0.10846
184,The Journal of the Acoustical Society of America,1,0.10846
185,Biomining Technologies,1,0.10846
186,Biomedical Translational Research,1,0.10846
187,The Secrets of Soviet Cosmonauts,1,0.10846
188,Advanced Science,1,0.10846
189,Encyclopedia,1,0.10846
190,Nanobiotechnology Reports,1,0.10846
191,Physical Review Research,1,0.10846
192,Archives of Biochemistry and Biophysics,1,0.10846
193,Journal of Molecular and Cellular Cardiology,1,0.10846
194,Artificial Intelligence XXXIX,1,0.10846
195,Current Opinion in Structural Biology,1,0.10846
196,2022 IEEE 3rd Global Conference for Advancement in Technology (GCAT),1,0.10846
197,Applied Clay Science,1,0.10846
198,Advances in Biological Regulation,1,0.10846
199,The Stateman’s Yearbook,1,0.10846
200,Smart Materials,1,0.10846
201,2022 44th Annual International Conference of the IEEE Engineering in Medicine &amp; Biology Society (EMBC),1,0.10846
202,Crystals,1,0.10846
203,Calcified Tissue International,1,0.10846
204,Biochimica et Biophysica Acta (BBA) - Molecular Cell Research,1,0.10846
205,Journal of Physiological Anthropology,1,0.10846
206,Current Opinion in Colloid &amp; Interface Science,1,0.10846
207,Algal Research,1,0.10846
208,Complexity,1,0.10846
209,Planta,1,0.10846
210,Nanoscale,1,0.10846
211,Building and Environment,1,0.10846
212,Environmental Microbiome,1,0.10846
213,Biophysics and Physicobiology,1,0.10846
214,50+ Years of AIMETA,1,0.10846
215,Nano Energy,1,0.10846
216,Biology Open,1,0.10846
217,Composites Part A: Applied Science and Manufacturing,1,0.10846
218,"Quantum Mechanics, Cell-Cell Signaling, and Evolution",1,0.10846
219,Seminars in Cell &amp; Developmental Biology,1,0.10846
220,Quarterly Journal of Experimental Psychology,1,0.10846
221,The British Journal for the Philosophy of Science,1,0.10846
222,Physics of Particles and Nuclei Letters,1,0.10846
223,Entropy,1,0.10846
224,Doboku Gakkai Ronbunshu,1,0.10846
225,Journal of Function Spaces,1,0.10846
226,BioMed Research International,1,0.10846
227,IEEE Journal on Miniaturization for Air and Space Systems,1,0.10846
228,"Biomass, Biofuels, Biochemicals",1,0.10846
229,Journal of Clinical Investigation,1,0.10846
230,The Plant Journal,1,0.10846
231,Skeletal Muscle,1,0.10846
232,IEEE Access,1,0.10846
233,Antibiotics,1,0.10846
234,Rapid Prototyping Journal,1,0.10846
235,Journal of the Mechanics and Physics of Solids,1,0.10846
236,Journal of Personalized Medicine,1,0.10846
237,Journal of Hypertension,1,0.10846
238,npj Regenerative Medicine,1,0.10846
239,IEEE Pulse,1,0.10846
240,Journal of Psychiatry and Psychiatric Disorders,1,0.10846
241,Progress in Crystal Growth and Characterization of Materials,1,0.10846
242,Science of The Total Environment,1,0.10846
243,Journal of Bone and Mineral Metabolism,1,0.10846
244,BioSocieties,1,0.10846
245,Biopolymers,1,0.10846
246,Food Chemistry,1,0.10846
247,British Journal of General Practice,1,0.10846
248,Journal of Medicinal Chemistry,1,0.10846
