,word,count,percent
0,General Medicine,98,4.21143
1,Space and Planetary Science,95,4.08251
2,Agricultural and Biological Sciences (miscellaneous),88,3.78169
3,Medicine (miscellaneous),75,3.22303
4,Molecular Biology,73,3.13709
5,"General Biochemistry, Genetics and Molecular Biology",66,2.83627
6,Physics and Astronomy (miscellaneous),53,2.27761
7,Materials Science (miscellaneous),51,2.19166
8,"Biochemistry, Genetics and Molecular Biology (miscellaneous)",51,2.19166
9,Computer Science Applications,49,2.10572
10,"Ecology, Evolution, Behavior and Systematics",49,2.10572
11,Astronomy and Astrophysics,48,2.06274
12,Cell Biology,47,2.01977
13,Aerospace Engineering,44,1.89085
14,Ecology,43,1.84787
15,Physical and Theoretical Chemistry,40,1.71895
16,"Health, Toxicology and Mutagenesis",40,1.71895
17,Inorganic Chemistry,39,1.67598
18,Organic Chemistry,39,1.67598
19,Biotechnology,39,1.67598
20,Multidisciplinary,39,1.67598
21,Microbiology,37,1.59003
22,Radiation,37,1.59003
23,Catalysis,36,1.54706
24,Spectroscopy,36,1.54706
25,Paleontology,35,1.50408
26,Biomedical Engineering,35,1.50408
27,General Materials Science,34,1.46111
28,Physiology,34,1.46111
29,Genetics,33,1.41813
30,Microbiology (medical),33,1.41813
31,Biochemistry,31,1.33219
32,Bioengineering,29,1.24624
33,Condensed Matter Physics,28,1.20327
34,Developmental Biology,25,1.07434
35,General Engineering,24,1.03137
36,Plant Science,23,0.9884
37,General Physics and Astronomy,21,0.90245
38,Biophysics,18,0.77353
39,Physiology (medical),18,0.77353
40,Applied Mathematics,17,0.73055
41,Modeling and Simulation,16,0.68758
42,Mechanical Engineering,16,0.68758
43,Applied Microbiology and Biotechnology,15,0.64461
44,Biomaterials,13,0.55866
45,Molecular Medicine,13,0.55866
46,Fluid Flow and Transfer Processes,13,0.55866
47,Electrical and Electronic Engineering,12,0.51569
48,Industrial and Manufacturing Engineering,12,0.51569
49,Histology,12,0.51569
50,Mechanics of Materials,11,0.47271
51,"Radiology, Nuclear Medicine and imaging",11,0.47271
52,Food Science,10,0.42974
53,Structural Biology,10,0.42974
54,General Earth and Planetary Sciences,10,0.42974
55,General Agricultural and Biological Sciences,9,0.38676
56,General Environmental Science,9,0.38676
57,Instrumentation,9,0.38676
58,Energy Engineering and Power Technology,9,0.38676
59,"Atomic and Molecular Physics, and Optics",8,0.34379
60,Orthopedics and Sports Medicine,8,0.34379
61,Pharmacology,8,0.34379
62,Behavioral Neuroscience,8,0.34379
63,Cardiology and Cardiovascular Medicine,8,0.34379
64,Pharmaceutical Science,7,0.30082
65,General Chemical Engineering,7,0.30082
66,General Chemistry,7,0.30082
67,Agronomy and Crop Science,6,0.25784
68,Computational Mechanics,6,0.25784
69,Infectious Diseases,6,0.25784
70,"Safety, Risk, Reliability and Quality",6,0.25784
71,Pharmacology (medical),6,0.25784
72,Cognitive Neuroscience,5,0.21487
73,Cancer Research,5,0.21487
74,Ceramics and Composites,5,0.21487
75,Cellular and Molecular Neuroscience,5,0.21487
76,Neuropsychology and Physiological Psychology,5,0.21487
77,Process Chemistry and Technology,5,0.21487
78,Genetics (clinical),5,0.21487
79,Drug Discovery,5,0.21487
80,"Public Health, Environmental and Occupational Health",5,0.21487
81,"Physical Therapy, Sports Therapy and Rehabilitation",5,0.21487
82,General Immunology and Microbiology,5,0.21487
83,Virology,5,0.21487
84,Neurology (clinical),5,0.21487
85,Control and Systems Engineering,4,0.1719
86,Human Factors and Ergonomics,4,0.1719
87,Radiological and Ultrasound Technology,4,0.1719
88,Materials Chemistry,4,0.1719
89,Earth and Planetary Sciences (miscellaneous),4,0.1719
90,"Tourism, Leisure and Hospitality Management",4,0.1719
91,Immunology,4,0.1719
92,Endocrinology,3,0.12892
93,Analytical Chemistry,3,0.12892
94,Biochemistry (medical),3,0.12892
95,General Neuroscience,3,0.12892
96,Computer Networks and Communications,3,0.12892
