,word,count,percent
0,Wound management and healing in space,2,0.41841
1,Melatonin: A Promising Drug to Ameliorate Main Human Space Exploration Risks,2,0.41841
2,Amyloidogenesis via interfacial shear in a containerless biochemical reactor aboard the International Space Station,2,0.41841
3,In Vitro Growth and Development of Plants Under Stimulated Microgravity Condition,2,0.41841
4,Differential Single Cell Responses of Embryonic Stem Cells Versus Embryoid Bodies to Gravity Mechanostimulation,1,0.20921
5,Spaceflight studies identify a gene encoding an intermediate filament involved in tropism pathways,1,0.20921
6,Repeated long-duration space missions facilitate brain plasticity at night and psychological resilience during daytime,1,0.20921
7,Astrocytes regulate vascular endothelial responses to simulated deep space radiation in a human organ-on-a-chip model,1,0.20921
8,Advances in Space Biology: Cell Behavior in Microgravity,1,0.20921
9,Combined Impact of Magnetic Force and Spaceflight Conditions on Escherichia coli Physiology,1,0.20921
10,"Perspectives and opportunities: a molecular toolkit for fundamental physics and matter-wave interferometry in microgravity
                  <sup>*</sup>",1,0.20921
11,Effect of Microgravity on the Gut Microbiota Bacterial Composition in a Hindlimb Unloading Model,1,0.20921
12,Evaluation of the Effects of Microgravity on Activated Primary Human Hepatic Stellate Cells,1,0.20921
13,Extreme conditions affect neuronal oscillations of cerebral cortices in humans in the China Space Station and on Earth,1,0.20921
14,Space Environment Significantly Altered Metabolism in Tobramycin-resistant Mutagenesis of Escherichia coli Strain,1,0.20921
15,Affective health and countermeasures in long-duration space exploration,1,0.20921
16,Contemporary review of dermatologic conditions in space flight and future implications for long-duration exploration missions,1,0.20921
17,From Cultured Vascular Cells to Vessels: The Cellular and Molecular Basis of Vascular Dysfunction in Space,1,0.20921
18,Goods beyond Earth: cheaper manufacturing in space [manufacturing - space],1,0.20921
19,Information Field and its Carriers in Biological Systems,1,0.20921
20,Cybernetic Approach to Health Assessment,1,0.20921
21,Reduced local mechanical stimuli in spaceflight diminishes osteocyte lacunar morphometry and spatial heterogeneity in mouse cortical bone,1,0.20921
22,The neurology of space flight; How does space flight effect the human nervous system?,1,0.20921
23,Knockdown of MACF1 inhibits the migration and cytoskeletal arrangement of pre-osteoclasts induced by simulated microgravity,1,0.20921
24,Protein Crystallization in Space and Its Contribution to Drug Development,1,0.20921
25,Sensing Techniques and Interrogation Methods in Optical MEMS Accelerometers: A Review,1,0.20921
26,Understanding the Mechanisms of Gravity Resistance in Plants,1,0.20921
27,Cyanobacteria and microalgae in supporting human habitation on Mars,1,0.20921
28,Capillary driven fluid flows in microgravity,1,0.20921
29,Ground-Based Simulators of Microgravity for Pharmaceutical Research,1,0.20921
30,Protection of primary cilia is an effective countermeasure against the impairment of osteoblast function induced by simulated microgravity,1,0.20921
31,Plant Gravitropism: From Mechanistic Insights into Plant Function on Earth to Plants Colonizing Other Worlds,1,0.20921
32,Effect of countermeasure bodygear on cardiac-vascular-respiratory coupling during 6-degree head-down tilt: An earth-based microgravity study,1,0.20921
33,Simulated microgravity altered the cell cycle progression of porcine granulosa cells,1,0.20921
34,The odyssey of the ocular and cerebrospinal fluids during a mission to Mars: the “ocular glymphatic system” under pressure,1,0.20921
35,Cardiovascular Disease Risk Modeling for Astronauts: Making the Leap From Earth to Space,1,0.20921
36,Radiation environment in exploration-class space missions and plants’ responses relevant for cultivation in Bioregenerative Life Support Systems,1,0.20921
37,Solution Printing of Electronics and Sensors: Applicability and Application in Space,1,0.20921
